place_id,place_name,place_address,place_latitude,place_longitude,api_update
1,42,Smithfield North,53.349562,-6.278198,2024-02-21 01:03:56
2,30,Parnell Square North,53.353742,-6.265301,2024-02-21 01:03:56
3,54,Clonmel Street,53.336021,-6.262980,2024-02-21 01:03:56
4,108,Avondale Road,53.359405,-6.276142,2024-02-21 01:03:56
5,20,James Street East,53.336597,-6.248109,2024-02-21 01:03:56
6,56,Mount Street Lower,53.337960,-6.241530,2024-02-21 01:03:56
7,6,Christchurch Place,53.343368,-6.270120,2024-02-21 01:03:56
8,18,Grantham Street,53.334123,-6.265436,2024-02-21 01:03:56
9,32,Pearse Street,53.344304,-6.250427,2024-02-21 01:03:56
10,52,York Street East,53.338755,-6.262003,2024-02-21 01:03:56
11,48,Excise Walk,53.347777,-6.244239,2024-02-21 01:03:56
12,13,Fitzwilliam Square West,53.336074,-6.252825,2024-02-21 01:03:56
13,43,Portobello Road,53.330091,-6.268044,2024-02-21 01:03:56
14,31,Parnell Street,53.350929,-6.265125,2024-02-21 01:03:56
15,98,Frederick Street South,53.341515,-6.256853,2024-02-21 01:03:56
16,14,Fownes Street Upper,53.344603,-6.263371,2024-02-21 01:03:56
17,1,Clarendon Row,53.340927,-6.262501,2024-02-21 01:03:56
18,23,Custom House,53.348279,-6.254662,2024-02-21 01:03:56
19,106,Rathdown Road,53.358930,-6.280337,2024-02-21 01:03:56
20,112,North Circular Road (O'Connell's),53.357841,-6.251557,2024-02-21 01:03:56
21,68,Hanover Quay,53.344115,-6.237153,2024-02-21 01:03:56
22,74,Oliver Bond Street,53.343893,-6.280531,2024-02-21 01:03:56
23,87,Collins Barracks Museum,53.347477,-6.285250,2024-02-21 01:03:56
24,84,Brookfield Road,53.339005,-6.300217,2024-02-21 01:03:56
25,90,Benson Street,53.344153,-6.233451,2024-02-21 01:03:56
26,11,Earlsfort Terrace,53.334295,-6.258503,2024-02-21 01:03:56
27,17,Golden Lane,53.340803,-6.267732,2024-02-21 01:03:56
28,45,Deverell Place,53.351464,-6.255265,2024-02-21 01:03:56
29,114,Wilton Terrace (Park),53.333653,-6.248345,2024-02-21 01:03:56
30,72,John Street West,53.343105,-6.277167,2024-02-21 01:03:56
31,63,Fenian Street,53.341428,-6.246720,2024-02-21 01:03:56
32,113,Merrion Square South,53.338614,-6.248606,2024-02-21 01:03:56
33,91,South Dock Road,53.341833,-6.231291,2024-02-21 01:03:56
34,99,City Quay,53.346637,-6.246154,2024-02-21 01:03:56
35,9,Exchequer Street,53.343034,-6.263578,2024-02-21 01:03:56
36,67,The Point,53.346867,-6.230852,2024-02-21 01:03:56
37,116,Broadstone,53.354700,-6.272314,2024-02-21 01:03:57
38,55,Hatch Street,53.334030,-6.260714,2024-02-21 01:03:57
39,62,Lime Street,53.346026,-6.243576,2024-02-21 01:03:57
40,5,Charlemont Street,53.330662,-6.260177,2024-02-21 01:03:57
41,97,Kilmainham Gaol,53.342113,-6.310015,2024-02-21 01:03:57
42,61,Hardwicke Place,53.357043,-6.263232,2024-02-21 01:03:57
43,77,Wolfe Tone Street,53.348875,-6.267459,2024-02-21 01:03:57
44,73,Francis Street,53.342081,-6.275233,2024-02-21 01:03:57
45,4,Greek Street,53.346874,-6.272976,2024-02-21 01:03:57
46,49,Guild Street,53.347932,-6.240928,2024-02-21 01:03:57
47,19,Herbert Place,53.334432,-6.245575,2024-02-21 01:03:57
48,7,High Street,53.343565,-6.275071,2024-02-21 01:03:57
49,60,North Circular Road,53.359624,-6.260348,2024-02-21 01:03:57
50,102,Western Way,53.354929,-6.269425,2024-02-21 01:03:57
51,38,Talbot Street,53.350974,-6.252940,2024-02-21 01:03:57
52,53,Newman House,53.337132,-6.260590,2024-02-21 01:03:57
53,58,Sir Patrick's Dun,53.339218,-6.240642,2024-02-21 01:03:57
54,66,New Central Bank,53.347122,-6.234749,2024-02-21 01:03:57
55,104,Grangegorman Lower (Central),53.355173,-6.278424,2024-02-21 01:03:57
56,101,King Street North,53.350291,-6.273507,2024-02-21 01:03:57
57,115,Killarney Street,53.354845,-6.247579,2024-02-21 01:03:57
58,47,Herbert Street,53.335742,-6.245510,2024-02-21 01:03:57
59,117,Hanover Quay East,53.343653,-6.231755,2024-02-21 01:03:57
60,8,Custom House Quay,53.347884,-6.248048,2024-02-21 01:03:57
61,27,Molesworth Street,53.341288,-6.258117,2024-02-21 01:03:57
62,16,Georges Quay,53.347508,-6.252192,2024-02-21 01:03:57
63,96,Kilmainham Lane,53.341805,-6.305085,2024-02-21 01:03:57
64,82,Mount Brown,53.341645,-6.297190,2024-02-21 01:03:57
65,76,Market Street South,53.342296,-6.287661,2024-02-21 01:03:57
66,71,Kevin Street,53.337757,-6.267699,2024-02-21 01:03:57
67,79,Eccles Street East,53.358115,-6.265601,2024-02-21 01:03:57
68,69,Grand Canal Dock,53.342638,-6.238695,2024-02-21 01:03:57
69,25,Merrion Square East,53.339434,-6.246548,2024-02-21 01:03:57
70,51,York Street West,53.339334,-6.264699,2024-02-21 01:03:57
71,37,St. Stephen's Green South,53.337494,-6.261990,2024-02-21 01:03:57
72,59,Denmark Street Great,53.355610,-6.261397,2024-02-21 01:03:57
73,95,Royal Hospital,53.343897,-6.297060,2024-02-21 01:03:57
74,94,Heuston Station (Car Park),53.346985,-6.297804,2024-02-21 01:03:57
75,105,Grangegorman Lower (North),53.355954,-6.278378,2024-02-21 01:03:57
76,36,St. Stephen's Green East,53.337824,-6.256035,2024-02-21 01:03:57
77,93,Heuston Station (Central),53.346603,-6.296924,2024-02-21 01:03:57
78,22,Townsend Street,53.345922,-6.254614,2024-02-21 01:03:57
79,50,George's Lane,53.350230,-6.279696,2024-02-21 01:03:57
80,110,Phibsborough Road,53.356307,-6.273717,2024-02-21 01:03:57
81,12,Eccles Street,53.359246,-6.269779,2024-02-21 01:03:57
82,34,Portobello Harbour,53.330362,-6.265163,2024-02-21 01:03:57
83,78,Mater Hospital,53.359967,-6.264828,2024-02-21 01:03:57
84,2,Blessington Street,53.356769,-6.268140,2024-02-21 01:03:57
85,75,James Street,53.343456,-6.287409,2024-02-21 01:03:57
86,111,Mountjoy Square East,53.356717,-6.256359,2024-02-21 01:03:57
87,26,Merrion Square West,53.339764,-6.251988,2024-02-21 01:03:57
88,65,Convention Centre,53.347440,-6.238523,2024-02-21 01:03:57
89,15,Hardwicke Street,53.355473,-6.264423,2024-02-21 01:03:58
90,86,Parkgate Street,53.347972,-6.291804,2024-02-21 01:03:58
91,35,Smithfield,53.347692,-6.278214,2024-02-21 01:03:58
92,10,Dame Street,53.344007,-6.266802,2024-02-21 01:03:58
93,100,Heuston Bridge (South),53.347106,-6.292041,2024-02-21 01:03:58
94,24,Cathal Brugha Street,53.352149,-6.260533,2024-02-21 01:03:58
95,64,Sandwith Street,53.345203,-6.247163,2024-02-21 01:03:58
96,109,Buckingham Street Lower,53.353331,-6.249319,2024-02-21 01:03:58
97,85,Rothe Abbey,53.338776,-6.303950,2024-02-21 01:03:58
98,107,Charleville Road,53.359157,-6.281866,2024-02-21 01:03:58
99,33,Princes Street / O'Connell Street,53.349013,-6.260311,2024-02-21 01:03:58
100,44,Upper Sherrard Street,53.358437,-6.260641,2024-02-21 01:03:58
101,89,Fitzwilliam Square East,53.335211,-6.250900,2024-02-21 01:03:58
102,57,Grattan Street,53.339629,-6.243778,2024-02-21 01:03:58
103,80,St James Hospital (Luas),53.341359,-6.292951,2024-02-21 01:03:58
104,41,Harcourt Terrace,53.332763,-6.257942,2024-02-21 01:03:58
105,3,Bolton Street,53.351182,-6.269859,2024-02-21 01:03:58
106,40,Jervis Street,53.348300,-6.266651,2024-02-21 01:03:58
107,29,Ormond Quay Upper,53.346057,-6.268001,2024-02-21 01:03:58
108,103,Grangegorman Lower (South),53.354663,-6.278681,2024-02-21 01:03:58
109,28,Mountjoy Square West,53.356299,-6.258586,2024-02-21 01:03:58
110,39,Wilton Terrace,53.332383,-6.252717,2024-02-21 01:03:58
111,83,Emmet Road,53.340714,-6.308191,2024-02-21 01:03:58
112,92,Heuston Bridge (North),53.347802,-6.292432,2024-02-21 01:03:58
113,21,Leinster Street South,53.342180,-6.254485,2024-02-21 01:03:58
114,88,Blackhall Place,53.348800,-6.281637,2024-02-21 01:03:58
